CODESOCIETE|VILLE|LIBELLEDEPARTEMENT|LIBELLEREGIONCOMMERCIALE
MET|METZ-TESSY|74|Rhône-Alpes
ALB|GILLY SUR ISERE|73|Rhône-Alpes
ALM|LES MILLES|13|Littoral
AVI|VILLENEUVE-LES-AVIGNON|30|Littoral
BEA|BEAUMONT|63|Centre-Paris
BEC|STRASBOURG|67|Alsace-Est
BLA|BLAGNAC|31|Littoral
BRE|BRETIGNY-SUR-ORGE|91|Centre-Paris
CLA|CLAPIERS|34|Littoral
VAL|VALENCE|26|Rhône-Alpes
DIJ|DIJON|21|Alsace-Est
DUM|ANNECY-LE-VIEUX|74|Rhône-Alpes
ECU|ECULLY|69|Rhône-Alpes
FEG|FEGERSHEIM|67|Alsace-Est
FRV|FRANCHEVILLE|69|Rhône-Alpes
GAI|GAILLARD|74|Rhône-Alpes
GAP|GAP|05|Littoral
GEX|ST GENIS POUILLY|01|Rhône-Alpes
HAG|HAGUENAU|67|Alsace-Est
HEI|HEILLECOURT|54|Alsace-Est
IAB|L'ISLE-D'ABEAU|38|Rhône-Alpes
LAB|LABEGE CEDEX|31|Littoral
MAC|MACON|71|Centre-Paris
MOB|MONTBONNOT-SAINT-MARTIN|38|Rhône-Alpes
MOU|MOUANS-SARTOUX|06|Littoral
MUL|MULHOUSE|68|Alsace-Est
OBE|OBERNAI|67|Alsace-Est
PEG|PERRIGNY|89|Alsace-Est
PEP|PERPIGNAN|66|Littoral
PON|LE PONTET|84|Littoral
PRI|SAINT-PRIEST|69|Rhône-Alpes
QUE|QUETIGNY|21|Alsace-Est
RAV|LA RAVOIRE|73|Rhône-Alpes
SAL|SALLANCHES|74|Rhône-Alpes
SCH|SCHWEIGHOUSE-SUR-MODER|67|Alsace-Est
SEM|FEVES|57|Alsace-Est
SEY|SEYSSINS|38|Rhône-Alpes
SGL|SAINT-GENEST-LERPT|42|Rhône-Alpes
SJV|SAINT-JEAN-DE-VEDAS|34|Littoral
SMR|SAINT-MITRE-LES-REMPARTS|13|Littoral
SNO|SEYNOD|74|Rhône-Alpes
SSM|LA SEYNE-SUR-MER|83|Littoral
STE|LA FOUILLOUSE|42|Rhône-Alpes
SUR|SURESNES|92|Centre-Paris
THO|THONON-LES-BAINS|74|Rhône-Alpes
VAR|VARENNES VAUZELLES|58|Centre-Paris
VIB|VILLEURBANNE|69|Rhône-Alpes
VIC|VILLECHETIF|10|Alsace-Est
VIF|VILLEFRANCHE-SUR-SAONE|69|Centre-Paris
VIT|VITROLLES|13|Littoral
VLG|VILLE-LA-GRAND|74|Rhône-Alpes
POC|PONTAULT-COMBAULT|77|Centre-Paris
MAN|MANOSQUE|04|Littoral
VEN|VENELLES|13|Littoral
EPN|EPINAL|88|Alsace-Est
ORL|ORLEANS|45|Centre-Paris
SMA|SAINTE MAXIME|83|Littoral
CLI|CLIRON|08|Alsace-Est
SLM|SARGE LES LE MANS|72|Centre-Paris
BAR|BARCELONNETTE|04|Littoral
EST|ST JULIEN EN GENEVOIS CEDEX|74|Vente en ligne
VIV|VIVIER AU COURT|08|Alsace-Est
STR|SISTERON|04|Littoral
NEV|NEVERS CEDEX|58|Centre-Paris
BSN|CESSON|77|Centre-Paris
CAG|CAGNES SUR MER|06|Littoral
RMA|RUEIL MALMAISON|92|Centre-Paris
